Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol,AssetStr
CAD_JPY,7.3235,0.27,0.271761,-0.555065,0.001,0.000009248,0.025182530,30,1,0,CAD_JPY,FX Cross
CAD_SGD,6645.6,0.5,0.046222,-0.539957,0.00001,0.000007284,0.037817990,20,1,0,CAD_SGD,FX Cross
CHF_HKD,13789.05,0.5,-0.788627,-0.084496,0.00001,0.000001278,0.050697440,20,1,0,CHF_HKD,FX Cross
CHF_JPY,3512.95,4,-0.464096,-0.126572,0.001,0.000009248,0.033752420,30,1,0,CHF_JPY,FX Cross
EUR_AUD,5617.6,2.7,-0.770672,0.200375,0.00001,0.000006884,0.055570330,20,1,0,EUR_AUD,FX Cross
EUR_CAD,12358.85,0.5,-0.981271,0.474511,0.00001,0.000007535,0.055282860,20,1,0,EUR_CAD,FX Cross
EUR_CHF,27128.5,0.5,-0.307095,-0.429934,0.00001,0.000010098,0.036851460,30,1,0,EUR_CHF,FX Cross
EUR_GBP,11022.7,5.5,-0.617382,0.108042,0.00001,0.000012480,0.037042900,30,1,0,EUR_GBP,FX Cross
EUR_HKD,21548.9,0.015,-0.709225,-0.061672,0.00001,0.000001278,0.055504580,20,1,0,EUR_HKD,FX Cross
EUR_JPY,572.362,0.03,-0.354115,-0.107774,0.001,0.000009248,0.036951120,30,1,0,EUR_JPY,FX Cross
EUR_NZD,366.775,0.041,-1.138920,0.218550,0.00001,0.000006382,0.055406940,20,1,0,EUR_NZD,FX Cross
EUR_SGD,400.75,0.014,-0.685934,-0.084778,0.00001,0.000007284,0.055491250,20,1,0,EUR_SGD,FX Cross
GBP_AUD,7346.5,0.018,-0.432739,-0.155786,0.00001,0.000006884,0.062406480,20,1,0,GBP_AUD,FX Cross
GBP_CAD,7806.5,0.073,-0.670867,0.153489,0.00001,0.000007535,0.041390280,30,1,0,GBP_CAD,FX Cross
GBP_CHF,1547.864,0.098,0.086218,-0.862179,0.00001,0.000010098,0.041384600,30,1,0,GBP_CHF,FX Cross
GBP_HKD,2977.75,0.113,-0.363619,-0.450195,0.00001,0.000001278,0.062334660,20,1,0,GBP_HKD,FX Cross
GBP_JPY,26918.4,0.012,0.034581,-0.501429,0.001,0.000009248,0.041497550,30,1,0,GBP_JPY,FX Cross
GBP_NZD,63.187,0.01,-0.846948,-0.134820,0.00001,0.000006382,0.062224720,20,1,0,GBP_NZD,FX Cross
GBP_SGD,2.61459,0.017,-0.337565,-0.476053,0.00001,0.000007284,0.062319670,20,1,0,GBP_SGD,FX Cross
HKD_JPY,3.518,0.00025,-0.015952,-0.062037,0.00001,0.000000092,0.006380960,20,1,0,HKD_JPY,FX Cross
NZD_CAD,2.587,0.01,-0.280370,-0.221997,0.00001,0.000007535,0.031840140,20,1,0,NZD_CAD,FX Cross
NZD_CHF,8.5735,0.0015,0.107891,-0.742853,0.00001,0.000010098,0.031836560,20,1,0,NZD_CHF,FX Cross
NZD_HKD,0.108505,1.5,-0.122541,-0.532788,0.00001,0.000001278,0.031967300,20,1,0,NZD_HKD,FX Cross
NZD_JPY,57.954,1.5,0.081579,-0.558638,0.001,0.000009248,0.031922180,20,1,0,NZD_JPY,FX Cross
NZD_SGD,4.752,3.7,-0.109195,-0.545977,0.00001,0.000007284,0.031959620,20,1,0,NZD_SGD,FX Cross
SGD_CHF,176.5975,0.05,-0.075584,-0.549241,0.00001,0.000010098,0.036280170,20,1,0,SGD_CHF,FX Cross
SGD_HKD,133.167,7.064,-0.338991,-0.308634,0.00001,0.000001278,0.036428880,20,1,0,SGD_HKD,FX Cross
SGD_JPY,129.449,4.811,-0.106096,-0.338496,0.001,0.000009248,0.036375740,20,1,0,SGD_JPY,FX Cross
CHF_ZAR,107.398,4.099,-0.633928,-0.135402,0.00001,0.000001483,0.055391740,20,1,0,CHF_ZAR,FX Minor
EUR_CZK,118.593,3.472,-0.876872,0.107686,0.00001,0.000001114,0.055381390,20,1,0,EUR_CZK,FX Minor
EUR_DKK,162.0465,3.039,-0.692531,-0.076948,0.00001,0.000001040,0.055402450,20,1,0,EUR_DKK,FX Minor
EUR_NOK,2174.699,22.532,0.260623,-0.842866,0.00001,0.000001483,0.049906510,20,1,0,EUR_NOK,FX Minor
EUR_SEK,1483.5905,420,0.041581,-0.623721,0.00001,0.000001114,0.049897670,20,1,0,EUR_SEK,FX Minor
USD_DKK,1563.632,11.247,0.207985,-0.790343,0.00001,0.000001040,0.049916420,20,1,0,USD_DKK,FX Minor
USD_NOK,23.87056,6.411,-2.599196,1.545468,0.00001,0.000000687,0.050578950,20,1,0,USD_NOK,FX Exotic
USD_SEK,14.69947,0.428,-1.691972,0.030763,0.00001,0.000000429,0.055373620,20,1,0,USD_SEK,FX Exotic
EUR_HUF,1493.3875,0.09655,-1.171157,0.123280,0.001,0.000003346,0.055475850,20,1,0,EUR_HUF,FX Exotic
EUR_PLN,1962.841,0.08388,-1.017555,0.246680,0.00001,0.000002564,0.055503010,20,1,0,EUR_PLN,FX Exotic
EUR_TRY,1356.891,0.06852,-6.387328,3.647703,0.00001,0.000001759,0.055408150,20,1,0,EUR_TRY,FX Exotic
EUR_ZAR,1208.898,0.05938,-2.691833,1.722773,0.00001,0.000000687,0.055374840,20,1,0,EUR_ZAR,FX Exotic
GBP_PLN,11707.7325,0.05217,-0.709894,-0.103887,0.00001,0.000002564,0.062332120,20,1,0,GBP_PLN,FX Exotic
GBP_ZAR,160807,0.42595,-2.591207,1.554724,0.00001,0.000000687,0.062188960,20,1,0,GBP_ZAR,FX Exotic
TRY_JPY,2326.982,7.2,0.566923,-0.987228,0.001,0.000009248,0.008797080,20,1,0,TRY_JPY,FX Exotic
USD_CNH,2060.2025,0.14665,-0.277941,-0.277941,0.00001,0.000001421,0.050029380,20,1,0,USD_CNH,FX Exotic
USD_CZK,82.227,0.10354,-0.692925,-0.692925,0.00001,0.000000429,0.049890620,20,1,0,USD_CZK,FX Exotic
USD_HUF,939.6115,0.00139,-0.222137,-0.610876,0.001,0.000003346,0.049980760,20,1,0,USD_HUF,FX Exotic
USD_INR,18.161705,0.0013,-0.916938,-0.222288,0.001,0.000014094,0.050014800,20,1,0,USD_INR,FX Exotic
USD_MXN,26.44607,0.00159,-1.804014,0.902007,0.00001,0.000000516,0.049957320,20,1,0,USD_MXN,FX Exotic
USD_PLN,18.04311,0.002,-0.083363,-0.500176,0.00001,0.000002564,0.050017560,20,1,0,USD_PLN,FX Exotic
USD_SAR,16.501495,0.001,-0.222280,-0.916904,0.00001,0.000002665,0.050012930,20,1,0,USD_SAR,FX Exotic
USD_THB,142.383315,0.00109,-0.583218,-0.555446,0.001,0.000032816,0.049990160,20,1,0,USD_THB,FX Exotic
USD_TRY,1955.55,0.002,-4.922803,2.565404,0.00001,0.000001759,0.049921380,20,1,0,USD_TRY,FX Exotic
USD_ZAR,28.2994,0.13,-1.594112,0.831711,0.00001,0.000000687,0.049902650,20,1,0,USD_ZAR,FX Exotic
ZAR_JPY,25.054885,0.002,0.102306,-0.156806,0.001,0.000009248,0.003442070,20,1,0,ZAR_JPY,FX Exotic
