Date,PnL
2017-09-10,269132.33
2017-09-11,270201.11
2017-09-12,268504.69
2017-09-13,269178.91
2017-09-14,279051.99
2017-09-15,271018.10
2017-09-17,268909.75
2017-09-18,268073.41
2017-09-19,266675.47
2017-09-20,266274.09
2017-09-21,267425.31
2017-09-22,268880.76
2017-09-24,266685.52
2017-09-25,266135.30
2017-09-26,265671.26
2017-09-27,272186.24
2017-09-28,271203.65
2017-09-29,267325.83
2017-10-01,267853.88
2017-10-02,267748.54
2017-10-03,266823.73
2017-10-04,266997.63
2017-10-05,266075.39
2017-10-06,265840.18
2017-10-08,268861.11
2017-10-09,271359.09
2017-10-10,271382.69
2017-10-11,272827.93
2017-10-12,292323.08
2017-10-13,306205.22
2017-10-15,309294.63
2017-10-16,309988.57
2017-10-17,302780.64
2017-10-18,301160.46
2017-10-19,301819.53
2017-10-20,305764.82
2017-10-22,304740.81
2017-10-23,303851.90
2017-10-24,299823.38
2017-10-25,296991.25
2017-10-26,297170.98
2017-10-27,295068.57
2017-10-29,294147.20
2017-10-30,294203.37
2017-10-31,297504.76
2017-11-01,303534.31
2017-11-02,313497.18
2017-11-03,325340.97
2017-11-05,323836.82
2017-11-06,314280.07
2017-11-07,314074.69
2017-11-08,309950.92
2017-11-09,308053.04
2017-11-10,314537.84
2017-11-12,323259.42
2017-11-13,311853.33
2017-11-14,307846.93
2017-11-15,309192.46
2017-11-16,318095.75
2017-11-17,318891.88
2017-11-19,323579.43
2017-11-20,332542.45
2017-11-21,320018.94
2017-11-22,334046.21
2017-11-23,327708.83
2017-11-24,327288.29
2017-11-26,329289.19
2017-11-27,330718.58
2017-11-28,333568.70
2017-11-29,332128.78
2017-11-30,337023.71
2017-12-01,326135.19
2017-12-03,327731.34
2017-12-04,330308.98
2017-12-05,335512.73
2017-12-06,395096.18
2017-12-07,504606.42
2017-12-08,443485.86
2017-12-10,415963.14
2017-12-11,438885.94
2017-12-12,444479.08
2017-12-13,431201.02
2017-12-14,430452.99
2017-12-15,435786.37
2017-12-17,449832.31
2017-12-18,445982.64
2017-12-19,431070.40
2017-12-20,439845.07
2017-12-21,450028.11
2017-12-22,491382.68
2017-12-24,483836.17
2017-12-26,451674.47
2017-12-27,439286.81
2017-12-28,445686.75
2017-12-29,430720.41
2017-12-31,429699.43
2018-01-01,428342.80
2018-01-02,426195.59
2018-01-03,425586.48
2018-01-04,417843.94
2018-01-05,423995.72
2018-01-07,424763.95
2018-01-08,408639.28
2018-01-09,414140.48
2018-01-10,410352.77
2018-01-11,414198.21
2018-01-12,407581.14
2018-01-14,407712.02
2018-01-15,406126.31
2018-01-16,413646.29
2018-01-17,411196.46
2018-01-18,393918.36
2018-01-19,392537.25
2018-01-21,392431.85
2018-01-22,387283.89
2018-01-23,382242.85
2018-01-24,383092.54
2018-01-25,382087.82
2018-01-26,380223.33
2018-01-28,377385.09
2018-01-29,378282.16
2018-01-30,389343.03
2018-01-31,389041.19
2018-02-01,418124.87
2018-02-02,429311.48
2018-02-04,432614.77
2018-02-05,491666.95
2018-02-06,451995.65
2018-02-07,450033.59
