Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
BITCOIN,Long,BTCUSD,572001,4,2015-12-15 10:00,2015-12-17 03:00,453.83,452.35,-5.91,0.00,Reverse
BITCOIN,Long,BTCUSD,572201,4,2015-12-15 12:00,2015-12-17 03:00,454.31,452.35,-7.83,0.00,Reverse
BITCOIN,Long,BTCUSD,572801,4,2015-12-15 18:00,2015-12-17 03:00,458.02,452.35,-22.65,0.00,Reverse
BITCOIN,Long,BTCUSD,573001,4,2015-12-15 20:00,2015-12-17 03:00,458.99,452.35,-26.54,0.00,Reverse
BITCOIN,Long,BTCUSD,573601,4,2015-12-16 02:00,2015-12-17 03:00,461.95,452.35,-38.39,0.00,Reverse
BITCOIN,Long,BTCUSD,573801,5,2015-12-16 04:00,2015-12-17 03:00,442.13,452.35,+51.12,0.00,Reverse
BITCOIN,Long,BTCUSD,574501,4,2015-12-16 11:00,2015-12-17 03:00,458.25,452.35,-23.58,0.00,Reverse
BITCOIN,Long,BTCUSD,574701,4,2015-12-16 13:00,2015-12-17 03:00,459.10,452.35,-26.97,0.00,Reverse
BITCOIN,Long,BTCUSD,574801,4,2015-12-16 14:00,2015-12-17 03:00,454.49,452.35,-8.53,0.00,Reverse
BITCOIN,Short,BTCUSD,576101,4,2015-12-17 03:00,2015-12-17 08:00,452.35,456.12,-15.07,0.00,Reverse
BITCOIN,Short,BTCUSD,576301,4,2015-12-17 05:00,2015-12-17 08:00,453.39,456.12,-10.93,0.00,Reverse
BITCOIN,Short,BTCUSD,576401,4,2015-12-17 06:00,2015-12-17 08:00,456.74,456.12,+2.49,0.00,Reverse
BITCOIN,Long,BTCUSD,576601,4,2015-12-17 08:00,2015-12-21 02:00,456.12,430.94,-101,0.00,Reverse
BITCOIN,Long,BTCUSD,577001,4,2015-12-17 12:00,2015-12-21 02:00,458.04,430.94,-108,0.00,Reverse
BITCOIN,Long,BTCUSD,577201,4,2015-12-17 14:00,2015-12-21 02:00,458.04,430.94,-108,0.00,Reverse
BITCOIN,Long,BTCUSD,577501,4,2015-12-17 17:00,2015-12-21 02:00,456.22,430.94,-101,0.00,Reverse
BITCOIN,Long,BTCUSD,578401,4,2015-12-18 02:00,2015-12-21 02:00,455.15,430.94,-96.87,0.00,Reverse
BITCOIN,Long,BTCUSD,578601,4,2015-12-18 04:00,2015-12-21 02:00,456.31,430.94,-101,0.00,Reverse
BITCOIN,Long,BTCUSD,578701,4,2015-12-18 05:00,2015-12-21 02:00,456.49,430.94,-102,0.00,Reverse
BITCOIN,Long,BTCUSD,579101,4,2015-12-18 09:00,2015-12-21 02:00,460.26,430.94,-117,0.00,Reverse
BITCOIN,Long,BTCUSD,579201,4,2015-12-18 10:00,2015-12-21 02:00,459.27,430.94,-113,0.00,Reverse
BITCOIN,Long,BTCUSD,579401,4,2015-12-18 12:00,2015-12-21 02:00,458.63,430.94,-111,0.00,Reverse
BITCOIN,Long,BTCUSD,579701,4,2015-12-18 15:00,2015-12-21 02:00,459.49,430.94,-114,0.00,Reverse
BITCOIN,Long,BTCUSD,580001,4,2015-12-18 18:00,2015-12-21 02:00,458.88,430.94,-112,0.00,Reverse
BITCOIN,Long,BTCUSD,580101,4,2015-12-18 19:00,2015-12-21 02:00,456.55,430.94,-102,0.00,Reverse
BITCOIN,Short,BTCUSD,580501,5,2015-12-21 02:00,2015-12-23 16:00,430.94,439.54,-43.02,0.00,Reverse
BITCOIN,Short,BTCUSD,580701,5,2015-12-21 04:00,2015-12-23 16:00,436.05,439.54,-17.46,0.00,Reverse
BITCOIN,Short,BTCUSD,580801,5,2015-12-21 05:00,2015-12-23 16:00,438.63,439.54,-4.55,0.00,Reverse
BITCOIN,Short,BTCUSD,581201,5,2015-12-21 09:00,2015-12-23 16:00,436.39,439.54,-15.74,0.00,Reverse
BITCOIN,Short,BTCUSD,581301,5,2015-12-21 10:00,2015-12-23 16:00,438.17,439.54,-6.85,0.00,Reverse
BITCOIN,Short,BTCUSD,581401,5,2015-12-21 11:00,2015-12-23 16:00,443.57,439.54,+20.16,0.00,Reverse
BITCOIN,Short,BTCUSD,581501,4,2015-12-21 12:00,2015-12-23 16:00,444.43,439.54,+19.54,0.00,Reverse
BITCOIN,Short,BTCUSD,582001,5,2015-12-21 17:00,2015-12-23 16:00,438.57,439.54,-4.86,0.00,Reverse
BITCOIN,Short,BTCUSD,582301,5,2015-12-21 20:00,2015-12-23 16:00,435.37,439.54,-20.84,0.00,Reverse
BITCOIN,Short,BTCUSD,582601,5,2015-12-21 23:00,2015-12-23 16:00,435.18,439.54,-21.81,0.00,Reverse
BITCOIN,Short,BTCUSD,582701,5,2015-12-22 00:00,2015-12-23 16:00,437.35,439.54,-10.97,0.00,Reverse
BITCOIN,Short,BTCUSD,582801,5,2015-12-22 01:00,2015-12-23 16:00,439.00,439.54,-2.70,0.00,Reverse
BITCOIN,Short,BTCUSD,584301,5,2015-12-22 16:00,2015-12-23 16:00,437.51,439.54,-10.17,0.00,Reverse
BITCOIN,Short,BTCUSD,584401,5,2015-12-22 17:00,2015-12-23 16:00,437.44,439.54,-10.53,0.00,Reverse
BITCOIN,Short,BTCUSD,584701,5,2015-12-22 20:00,2015-12-23 16:00,435.59,439.54,-19.73,0.00,Reverse
BITCOIN,Short,BTCUSD,584801,5,2015-12-22 21:00,2015-12-23 16:00,436.05,439.54,-17.46,0.00,Reverse
BITCOIN,Short,BTCUSD,584901,5,2015-12-22 22:00,2015-12-23 16:00,436.76,439.54,-13.90,0.00,Reverse
BITCOIN,Short,BTCUSD,585201,5,2015-12-23 01:00,2015-12-23 16:00,437.03,439.54,-12.55,0.00,Reverse
